domain,platform,catalog_size_sampled,currency,sar_ok,brand_overlap_pct,model_overlap_pct,discoverable,discovery_method,integration_difficulty,connector,priority,confidence,note,sample_hits
"sonyworld.sa","shopify","236","SAR","true","53","0","true","manual/seed","low","shopify-products-json (adapter TBD — trivial)","LOW_WATCH","0.736","shopify products.json",""
"m2telecom.net","salla_or_zid","16","null","true","44","0","true","manual/seed","low","salla-json-ld (adapter EXISTS, covers Salla+Zid)","LOW_WATCH","0.516","zid fingerprint",""
"zamilac.com","unknown","0","null","false","0","0","false","manual/seed","high","none (scraper fallback / skip)","SKIP","0.3","no known platform signal",""
"alkhunaizan.sa","unknown","0","null","false","0","0","false","manual/seed","high","none (scraper fallback / skip)","SKIP","0.3","no known platform signal",""
"albassamest.com","unknown","0","null","false","0","0","false","manual/seed","high","none (scraper fallback / skip)","SKIP","0.3","no known platform signal",""
"blackbox.com.sa","unknown","0","null","false","0","0","false","manual/seed","high","none (scraper fallback / skip)","SKIP","0.3","no known platform signal",""
"eddy.com.sa","unknown","0","null","false","0","0","false","manual/seed","high","none (scraper fallback / skip)","SKIP","0.3","no known platform signal",""
"abdulwahed.com","unknown","0","null","false","0","0","false","manual/seed","high","none (scraper fallback / skip)","SKIP","0.3","no known platform signal",""
"saco.sa","unknown","0","null","false","0","0","false","manual/seed","high","none (scraper fallback / skip)","SKIP","0.3","no known platform signal",""
"redsea.com","shopify","0","null","true","0","0","true","manual/seed","low","shopify-products-json (adapter TBD — trivial)","SKIP","0.4","shopify fingerprint (no products.json) · no catalogue sampled",""
"xcite.com.sa","unknown","0","null","false","0","0","false","manual/seed","high","none (scraper fallback / skip)","SKIP","0.3","no known platform signal",""
"panda.com.sa","unknown","0","null","false","0","0","false","manual/seed","high","none (scraper fallback / skip)","SKIP","0.3","no known platform signal",""
"luluhypermarket.com","unknown","0","null","false","0","0","false","manual/seed","high","none (scraper fallback / skip)","SKIP","0.3","no known platform signal",""
"carrefourksa.com","unknown","0","null","false","0","0","false","manual/seed","high","none (scraper fallback / skip)","SKIP","0.3","no known platform signal",""
"bindawood.com","woocommerce","0","null","true","0","0","false","manual/seed","low","woocommerce-store-api (adapter EXISTS)","SKIP","0.4","woo fingerprint (store-api closed) · no catalogue sampled",""
"danube.sa","unknown","0","null","false","0","0","false","manual/seed","high","none (scraper fallback / skip)","SKIP","0.3","no known platform signal",""
"othaimmarkets.com","unknown","0","null","false","0","0","false","manual/seed","high","none (scraper fallback / skip)","SKIP","0.3","no known platform signal",""
"farm.com.sa","unknown","0","null","false","0","0","false","manual/seed","high","none (scraper fallback / skip)","SKIP","0.3","no known platform signal",""
"al-sadhan.com","unknown","0","null","false","0","0","false","manual/seed","high","none (scraper fallback / skip)","SKIP","0.3","no known platform signal",""
"stc.com.sa","unknown","0","null","false","0","0","false","manual/seed","high","none (scraper fallback / skip)","SKIP","0.3","no known platform signal",""
"mobily.com.sa","unknown","0","null","false","0","0","false","manual/seed","high","none (scraper fallback / skip)","SKIP","0.3","no known platform signal",""
"sa.zain.com","unknown","0","null","false","0","0","false","manual/seed","high","none (scraper fallback / skip)","SKIP","0.3","no known platform signal",""
"assraljawal.com.sa","unknown","0","null","false","0","0","false","manual/seed","high","none (scraper fallback / skip)","SKIP","0.3","no known platform signal",""
"axiomtelecom.com","unknown","0","null","false","0","0","false","manual/seed","high","none (scraper fallback / skip)","SKIP","0.3","no known platform signal",""
"alhaddadshop.com","unknown","0","null","false","0","0","false","manual/seed","high","none (scraper fallback / skip)","SKIP","0.3","no known platform signal",""
"shaker.com.sa","woocommerce","0","null","true","0","0","false","manual/seed","low","woocommerce-store-api (adapter EXISTS)","SKIP","0.4","woo fingerprint (store-api closed) · no catalogue sampled",""
"zagzoog.com","woocommerce","0","null","true","0","0","false","manual/seed","low","woocommerce-store-api (adapter EXISTS)","SKIP","0.4","woo fingerprint (store-api closed) · no catalogue sampled",""
"alessa.com.sa","unknown","0","null","false","0","0","false","manual/seed","high","none (scraper fallback / skip)","SKIP","0.3","no known platform signal",""
